natural,formal,score
"Consider all polynomials $P(x)$ with real coefficients that have the following property: for any two real numbers $x$ and $y$ one has

$$
\left|y^{2}-P(x)\right| \leqslant 2|x| \quad \text { if and only if } \quad\left|x^{2}-P(y)\right| \leqslant 2|y| \text {. }
$$

Determine all possible values of $P(0)$.

The final answer is that the set of possible values of $P(0)$ is $(-\infty, 0) \cup\{1\}$.","theorem lean_workbook_10144  (x : ℝ)
  (h₀ : 0 < x)
  (h₁ : 0 < x^4 + 2 * |x|) :
  x^2 + 1 = x^2 + 1 := by sorry",2
"Determine all functions $f: \mathbb{Z} \rightarrow \mathbb{Z}$ such that

$$
f^{a^{2}+b^{2}}(a+b)=a f(a)+b f(b) \quad \text { for every } a, b \in \mathbb{Z} .
$$

Here, $f^{n}$ denotes the $n^{\text {th }}$ iteration of $f$, i.e., $f^{0}(x)=x$ and $f^{n+1}(x)=f\left(f^{n}(x)\right)$ for all $n \geqslant 0$.

The final answer is either $f(x)=0$ for all $x \in \mathbb{Z}$, or $f(x)=x+1$ for all $x \in \mathbb{Z}$.",theorem lean_workbook_10144 (a b : ℤ) (f : ℤ → ℤ) (hf: f = fun x ↦ x + 1) : f a ^ 2 + b ^ 2 = a * f a + b * f b := by sorry,3
"Find all functions $f: \mathbb{R} \rightarrow \mathbb{R}$ that satisfy the conditions

$$
f(1+x y)-f(x+y)=f(x) f(y) \text { for all } x, y \in \mathbb{R}
$$

and $f(-1) \neq 0$

The final answer is the function $f(x)=x-1, x \in \mathbb{R}$.",theorem lean_workbook_14414 (x y : ℝ) :  x + y = 1 → x = 2 - y := by sorry,1
"Let $\mathcal{A}$ denote the set of all polynomials in three variables $x, y, z$ with integer coefficients. Let $\mathcal{B}$ denote the subset of $\mathcal{A}$ formed by all polynomials which can be expressed as

$$
(x+y+z) P(x, y, z)+(x y+y z+z x) Q(x, y, z)+x y z R(x, y, z)
$$

with $P, Q, R \in \mathcal{A}$. Find the smallest non-negative integer $n$ such that $x^{i} y^{j} z^{k} \in \mathcal{B}$ for all nonnegative integers $i, j, k$ satisfying $i+j+k \geqslant n$.

The final answer is $n=4$.","theorem lean_workbook_10144  (x y z : ℝ)
  (h₀ : 0 ≤ x ∧ x ≤ 1)
  (h₁ : 0 ≤ y ∧ y ≤ 1)
  (h₂ : 0 ≤ z ∧ z ≤ 1) :
  x^4 + y^4 + z^4 + 6 * x^2 * y^2 + 6 * x^2 * z^2 + 6 * x * y * z - 4 * x * y * z ≤ 4 := by sorry",2
"Determine the largest real number $a$ such that for all $n \geqslant 1$ and for all real numbers $x_{0}, x_{1}, \ldots, x_{n}$ satisfying $0=x_{0}<x_{1}<x_{2}<\cdots<x_{n}$, we have

$$
\frac{1}{x_{1}-x_{0}}+\frac{1}{x_{2}-x_{1}}+\cdots+\frac{1}{x_{n}-x_{n-1}} \geqslant a\left(\frac{2}{x_{1}}+\frac{3}{x_{2}}+\cdots+\frac{n+1}{x_{n}}\right) .
$$

The final answer is that the largest $a$ is $\frac{4}{9}$.","theorem lean_workbook_plus_10014  (n : ℕ)
  (a : ℝ)
  (h₀ : a = 4 / 9) :
  a ≤ 4 / 9 := by sorry",3
"Find the smallest positive integer $n$, or show that no such $n$ exists, with the following property: there are infinitely many distinct $n$-tuples of positive rational numbers $\left(a_{1}, a_{2}, \ldots, a_{n}\right)$ such that both

$$
a_{1}+a_{2}+\cdots+a_{n} \quad \text { and } \quad \frac{1}{a_{1}}+\frac{1}{a_{2}}+\cdots+\frac{1}{a_{n}}
$$

are integers.

The final answer is $n=3$.",theorem lean_workbook_plus_11014 (b c : ℝ) (h₁ : 0 < c ∧ c > 0) (h₂ : 0 < b ∧ b > 0) (h₃ : 0 < a ∧ a > 0) (h₄ : 0 < d ∧ d > 0) : 0 < a ∧ a > 0 ∧ 0 < b ∧ b > 0 ∧ 0 < c ∧ c > 0 := by sorry,1
"Find all functions $f: \mathbb{Z} \rightarrow \mathbb{Z}$ such that

$$
n^{2}+4 f(n)=f(f(n))^{2}
$$

for all $n \in \mathbb{Z}$.

The final answer is that the possibilities are:

\begin{itemize}
  \item $f(n)=n+1$ for all $n$

  \item or, for some $a \geqslant 1, \quad f(n)= \begin{cases}n+1, & n>-a, \\ -n+1, & n \leqslant-a ;\end{cases}$

  \item or $f(n)= \begin{cases}n+1, & n>0 \\ 0, & n=0 \\ -n+1, & n<0\end{cases}$

\end{itemize}",theorem lean_workbook_11142 (n : ℤ) (f : ℤ → ℤ) (hf: f = fun (n : ℤ) => n + 1) : f (-n) = -n + 1 := by sorry,2
"Find all pairs $(m, n)$ of nonnegative integers for which

$$
m^{2}+2 \cdot 3^{n}=m\left(2^{n+1}-1\right) .
$$

The final answers are $(6,3),(9,3),(9,5),(54,5)$.",theorem lean_workbook_plus_11024 (n : ℕ) (h : 6 ≤ n + 1) : 6 ∣ n + 1 := by sorry,2
"Call admissible a set $A$ of integers that has the following property:

$$
\text { If } x, y \in A \text { (possibly } x=y \text { ) then } x^{2}+k x y+y^{2} \in A \text { for every integer } k \text {. }
$$

Determine all pairs $m, n$ of nonzero integers such that the only admissible set containing both $m$ and $n$ is the set of all integers.

The final answer is that a pair of integers $m, n$ fulfills the condition if and only if $\operatorname{gcd}(m, n)=1$.","theorem lean_workbook_10014  (m n : ℤ)
  (h₀ : 0 < m ∧ 0 < n)
  (h₁ : 1 = m^4 + n^4) :
  1 = (m^4 + n^4)^ 2 := by sorry",1
"Let $\mathbb{Z}$ be the set of integers. Determine all functions $f: \mathbb{Z} \rightarrow \mathbb{Z}$ such that, for all integers $a$ and $b$

$$
f(2 a)+2 f(b)=f(f(a+b))
$$

The final answers are $f(n)=0$ and $f(n)=2 n+K$ for any constant $K \in \mathbb{Z}$.","theorem lean_workbook_plus_10024 (f : ℤ → ℤ) (hf : f = fun n => 2 * n + k) : ∀ a b, f (2 * a + b) = f (a + b) := by sorry",3
